#{"t_start": 1778086532.8526413, "env_id": "YaskawaGP7ReachPyBullet-Collision-Free-v0"}
r,l,t
-17.663885,43,1.825529
-16.675209,36,2.017271
-18.285995,39,2.589151
-13.024068,49,3.345104
-15.163125,45,3.90036
-22.299833,55,4.535124
-16.536786,52,5.133324
-12.735297,28,5.458252
-20.594236,51,6.036559
-18.431711,45,6.548603
-15.347191,46,7.091153
-16.035067,43,7.584857
-19.599412,48,8.161315
-16.706911,46,8.752604
-19.563742,46,9.359694
-13.666359,50,9.984024
-72.734489,359,14.402579
-28.725157,55,15.085069
-33.178519,83,16.099138
-25.505662,69,16.937761
-87.192643,317,20.821635
-11.755927,48,21.387545
-5.490498,18,21.607889
-4.736086,8,21.702634
-12.220007,47,22.268123
-10.074807,35,22.680918
-14.342464,28,23.024
-6.900325,28,23.357109
-16.182569,32,23.752391
-15.042348,29,24.104935
-41.02033,124,25.639123
-27.777376,128,27.20721
-39.509952,88,28.255719
-37.904343,153,30.101932
-27.001409,100,31.340562
-28.801486,58,32.046426
-7.144133,12,32.190042
-7.997585,15,32.359589
-27.602254,68,33.17441
-118.901764,500,39.243775
-95.332805,256,42.496908
-30.8715,159,44.460042
-22.727245,46,45.022512
-29.961059,138,46.69561
-47.368041,162,48.690569
-14.215896,34,49.100249
-24.682384,132,50.653367
-92.020543,411,55.60889
-78.007999,431,60.879679
-6.243506,13,61.038375
-18.616862,56,61.744239
-21.050448,96,75.484702
-58.801998,500,81.300789
-21.583624,59,81.989454
-14.08064,41,82.467507
-18.499029,53,83.075402
-91.965966,500,89.08597
-58.48729,259,92.271893
-59.101346,264,95.540611
-90.4058,453,101.049097
-10.977481,48,101.638545
-92.105567,354,105.927604
-40.551699,500,112.029474
-11.824543,30,112.3935
-13.125348,39,112.860623
-8.711203,16,113.050117
-11.82549,35,113.477973
-12.900418,45,114.025483
-11.294898,33,114.4246
-28.978816,93,115.550275
-64.507605,500,121.691006
-77.36376,500,127.835517
-12.908685,46,128.38804
-7.036388,14,128.555592
-43.228626,500,134.642029
-60.92425,500,157.725116
-12.38102,39,158.181925
-7.834142,13,158.332493
-33.846976,374,162.695087
-24.871885,213,165.15816
-14.081401,61,165.866266
-49.846034,290,169.221004
-18.159819,166,171.184088
-52.568046,500,177.002973
-73.476083,500,182.801866
-12.398048,50,183.392918
-74.982481,500,189.452529
-48.446797,394,194.312662
-14.683316,62,195.067616
-11.137259,42,195.574261
-8.777235,30,195.952281
-8.532035,27,196.27439
-18.408536,58,196.965565
-17.55483,66,197.766476
-43.123165,500,203.878988
-41.045008,399,208.777351
-9.872841,86,209.809334
-13.086927,44,210.331048
-15.871875,35,210.7499
-17.518469,117,225.934564
-75.051462,500,231.819841
-43.406064,497,237.611799
-38.533654,500,243.460612
-13.832519,47,244.004543
-13.452531,50,244.591237
-9.008149,40,245.062974
-9.668665,44,245.570594
-8.960184,43,246.070757
-92.274422,500,251.97235
-9.049579,39,252.434144
-91.672388,500,258.248603
-16.925041,42,258.725326
-15.233931,44,259.229951
-45.49959,499,265.123154
-13.450906,95,266.292302
-20.863749,182,268.627536
-8.342485,39,269.097129
-25.545994,142,270.781115
-24.387269,159,272.777713
-35.491456,314,276.666627
-10.918025,68,277.50824
-35.413037,378,282.14874
-45.116856,500,303.611211
-8.123993,43,304.146888
-18.00908,112,305.533556
-13.813004,92,306.689494
-14.250795,59,307.43143
-9.805163,29,307.786481
-14.028117,124,309.315385
-14.392265,67,310.138203
-9.022568,71,311.04722
-26.73265,234,314.085286
-14.162679,52,314.719644
-17.855153,68,315.554741
-9.60028,36,316.000108
-9.975872,41,316.491822
-12.113974,46,317.063754
-9.893192,64,317.874567
-9.673418,55,318.547734
-21.61717,114,320.008548
-17.415485,56,320.707485
-26.952754,217,323.424788
-34.169133,188,325.808489
-23.709297,122,327.344022
-8.533517,28,327.704449
-6.024149,43,328.230043
-17.584587,86,329.230368
-9.283655,37,329.669495
-10.570048,112,331.119282
-17.538256,58,331.829353
-56.140894,500,338.410381
-18.257429,153,340.329465
-7.879049,55,341.043448
-14.809069,82,342.057719
-17.9403,108,343.409566
-18.974182,67,344.212419
-15.301957,54,344.858103
-19.089306,98,346.2027
-11.541261,71,347.094054
-40.515862,500,353.42345
-20.430482,104,354.78919
-12.360176,48,355.336872
-19.458061,242,358.277251
-31.254986,373,362.863601
-14.060178,96,372.0958
-14.897697,49,372.669265
-14.432617,95,373.796262
-6.66771,37,374.234094
-34.910725,500,380.385352
-15.246773,67,381.179347
-10.579969,41,381.701008
-13.851523,49,382.280204
-23.980454,205,384.712271
-14.788176,49,385.311421
-13.011111,52,385.922182
-16.561996,54,386.605686
-14.841258,58,387.335235
-13.442248,116,388.937948
-36.41455,500,395.26314
-14.955851,65,396.055268
-9.928451,46,396.646819
-14.013209,48,397.262283
-13.783007,72,398.139938
-41.309768,500,404.296425
-23.696332,132,406.195318
-22.361848,335,410.223198
-33.378357,500,416.364372
-27.920626,332,420.603402
-36.952285,460,426.249038
-10.974103,49,426.826769
-6.048708,32,427.202734
-20.162086,131,428.787769
-7.40978,39,429.267487
-7.897907,77,430.237449
-8.174367,37,430.669819
-22.114143,123,432.167106
-23.147551,121,437.135698
-11.112573,45,437.762994
-6.484886,35,438.185864
-33.835611,463,444.096931
-15.993354,55,444.801077
-19.005329,55,445.475496
-8.678311,43,446.003327
-6.383625,43,446.536871
-16.692932,71,447.420228
-12.035365,50,448.068181
-51.744935,500,454.229702
-37.565832,393,459.286337
-8.229836,38,459.712196
-12.395874,88,460.870071
-9.749794,38,461.350127
-14.313467,52,462.004898
-9.007877,36,462.546452
-37.145552,500,469.142493
-38.569391,500,475.48897
-14.772802,49,476.112341
-19.845321,72,476.97068
-47.258837,500,483.177924
-9.795674,42,483.698564
-17.904834,66,484.49636
-54.194318,500,490.69726
-10.332051,39,491.190789
-22.065706,134,492.87568
-46.212179,466,498.625913
-56.806156,500,512.391746
-65.31,499,518.218897
-15.791479,53,518.83525
-14.371307,68,519.629156
-13.772174,45,520.16586
-8.033094,35,520.577787
-9.965528,71,521.41651
-50.491935,500,527.298859
-12.628653,49,527.878377
-13.457805,61,528.57953
-14.863179,50,529.170107
-9.52184,38,529.608963
-16.284824,53,530.226475
-18.497642,142,531.90898
-44.661173,500,537.848862
-21.434526,101,539.019756
-54.113934,500,544.919426
-25.817936,291,548.38044
-25.4847,313,552.062628
-80.896122,500,557.936793
-8.432517,35,558.334699
-46.830135,500,564.158784
-14.955724,54,564.791093
-14.824903,63,565.524891
-16.332906,104,580.146798
-16.115015,130,581.658432
-27.824521,240,584.426677
-19.456288,81,585.37323
-43.523554,500,591.243008
-44.076198,500,597.123092
-18.106784,73,597.993763
-21.668002,113,599.307019
-35.411854,500,605.156898
-7.422514,38,605.623913
-16.128255,86,606.624267
-9.614457,53,607.26614
-11.162989,77,608.281311
-12.268046,59,609.024055
-17.272586,65,609.822959
-13.245852,65,610.674682
-33.303472,228,613.453252
-23.254629,238,616.406865
-36.340515,329,620.415505
-12.976585,53,621.07501
-8.835015,37,621.529766
-37.905305,343,625.688647
-12.013644,44,626.258782
-5.540534,34,626.67755
-46.17237,500,632.779778
-11.800099,45,633.33233
-11.071626,47,633.904525
-41.121186,500,639.995366
-6.181675,22,646.551958
-15.911137,65,647.41627
-14.307925,48,647.974012
-9.263217,42,648.529676
-13.243332,104,649.78417
-10.190796,44,650.327751
-8.005919,37,650.783463
-11.841133,46,651.354651
-14.82462,48,651.929145
-7.116623,49,652.530507
-19.428854,54,653.177374
-18.318249,71,654.079962
-11.296845,50,654.677392
-11.402279,49,655.285094
-10.026731,44,655.825032
-18.288884,56,656.50884
-13.367999,94,657.664367
-8.825772,40,658.149071
-28.576407,330,662.198969
-19.342656,126,663.749949
-16.25625,95,664.943779
-14.902969,65,665.737545
-17.10511,107,667.044256
-17.524276,124,668.561845
-17.073045,55,669.234417
-7.898342,36,669.710271
-3.158709,11,669.838927
-21.077431,100,671.04705
-16.10321,89,672.120179
-20.757371,98,673.321707
-9.01122,62,674.077294
-13.860735,61,674.851371
-8.74235,38,675.324328
-16.822974,65,676.143259
-10.911843,51,676.783887
-9.176006,42,677.29645
-25.676925,230,680.078383
-18.726302,58,680.830824
-15.946783,61,681.581775
-3.523867,13,681.736362
-11.617872,51,682.354997
-11.83862,56,683.039742
