#{"t_start": 1778042111.1141067, "env_id": "YaskawaGP7ReachPyBullet-Default-v0"}
r,l,t
-20.109195,56,1.354421
-41.013832,84,2.040099
-4.519425,20,2.260509
-4.927045,10,2.369385
-9.84182,27,2.67117
-10.814213,30,3.004249
-9.386531,32,3.363488
-10.38375,26,3.660693
-14.708583,45,4.163303
-15.487739,48,4.703966
-16.179586,47,5.24375
-10.054471,45,5.741055
-12.853788,46,6.259952
-11.996243,46,6.776645
-15.308383,49,7.36581
-11.877048,49,7.907669
-8.221846,45,8.41071
-14.762977,45,8.920529
-20.089192,47,9.459126
-15.442033,52,10.058546
-5.608082,21,10.306036
-5.054273,21,10.544922
-14.778634,52,11.151142
-10.644405,47,11.682725
-6.441951,21,11.917972
-15.02611,50,12.501559
-5.983328,23,12.761868
-13.903367,45,13.276041
-18.012393,46,13.802981
-12.060324,46,14.33282
-4.555463,22,14.593643
-12.392587,48,15.144103
-9.142522,19,15.364622
-12.521532,52,16.002486
-11.413095,49,16.559303
-15.002004,63,17.274524
-21.084526,69,18.060631
-9.991239,52,18.660354
-21.072578,67,19.427874
-16.071765,64,20.182641
-12.56434,53,20.799209
-22.211794,68,21.58726
-15.448177,68,22.361787
-6.196371,22,22.610931
-14.539504,60,23.309275
-20.704592,68,24.111067
-19.62383,69,24.937603
-15.270185,70,25.747976
-7.751108,48,26.30291
-15.978397,67,27.08021
-6.372927,24,27.363657
-9.330385,52,27.972335
-17.355518,69,28.781757
-10.668763,54,29.400724
-13.591959,66,30.167706
-14.837076,70,30.998811
-18.118922,69,31.833402
-22.164591,81,32.78816
-16.259238,48,33.357628
-3.929011,25,33.645858
-15.919246,47,34.214285
-16.133301,54,34.834398
-8.996664,47,35.391906
-4.254971,26,35.690197
-4.933248,11,35.81988
-4.94511,12,35.957511
-8.686391,48,36.525824
-17.346798,50,37.108823
-9.885328,47,37.664366
-7.847338,47,38.204834
-11.419372,48,38.785668
-5.469875,10,38.906345
-5.519123,11,39.034882
-5.411821,11,39.164309
-5.176166,11,39.292621
-8.68551,48,39.859536
-10.574173,48,40.459229
-9.816833,48,41.03388
-36.489178,164,42.959014
-9.068836,39,43.409338
-9.007176,35,43.830652
-17.879837,60,44.530502
-19.134865,77,45.434193
-6.241595,12,45.573791
-23.621761,139,47.192273
-10.922645,48,47.753033
-10.294891,42,48.250841
-15.504345,50,48.837445
-24.585966,120,50.288639
-5.909547,13,50.436274
-17.164542,71,51.270575
-18.536939,97,52.397413
-20.136779,101,53.592083
-9.779949,39,54.051558
-18.719933,103,55.270056
-16.390235,67,56.042989
-24.293836,105,57.326859
-22.163075,108,58.624736
-6.721208,29,58.975796
-13.932738,71,59.836464
-18.597153,71,60.711856
-14.058566,83,61.698845
-13.820828,80,62.664158
-4.455373,27,62.982005
-5.044766,28,63.342771
-16.269881,84,64.360504
-14.557815,75,65.216827
-6.788025,15,65.38435
-15.583125,70,66.1901
-9.042799,43,66.683813
-8.254407,39,67.164838
-5.873442,33,67.550807
-3.506649,11,67.683451
