rollout/ep_rew_mean,rollout/ep_len_mean,train/actor_loss,time/fps,time/total_timesteps,train/critic_loss,time/episodes,train/n_updates,rollout/success_rate,time/time_elapsed,train/learning_rate
-14.119213300000002,37.8,0.7242757081985474,109,378,0.00806028675287962,10,277,0.0,3,0.001
-13.898885000000002,42.45,1.1434459686279297,96,849,0.004485900513827801,20,748,0.0,8,0.001
-12.849685566666667,40.7,1.4424920082092285,93,1221,0.004913046024739742,30,1120,0.0,13,0.001
-12.96844695,43.15,1.9882493019104004,91,1726,0.014364415779709816,40,1625,0.0,18,0.001
-13.380523520000002,46.38,2.3071160316467285,89,2319,0.006069456227123737,50,2218,0.0,25,0.001
-13.360909433333331,47.95,2.5255208015441895,88,2877,0.017563316971063614,60,2776,0.016666666666666666,32,0.001
-12.865756585714287,46.65714285714286,2.651479721069336,88,3266,0.011298026889562607,70,3165,0.02857142857142857,36,0.001
-12.6029231,46.3,2.589456081390381,87,3704,0.04190494120121002,80,3603,0.025,42,0.001
-12.79262751111111,47.77777777777778,2.6445767879486084,87,4300,0.004729170817881823,90,4199,0.03333333333333333,49,0.001
-13.1917571,50.91,2.5456154346466064,86,5091,0.005523152649402618,100,4990,0.04,58,0.001
-12.962019080000003,52.89,2.406984806060791,86,5667,0.006665141321718693,110,5566,0.07,65,0.001
-13.782589430000003,58.33,2.2481472492218018,86,6682,0.008387467823922634,120,6581,0.09,77,0.001
-14.14196564,63.41,2.2823069095611572,85,7562,0.008063975721597672,130,7461,0.1,87,0.001
-14.544109820000001,70.97,2.1689534187316895,85,8823,0.007739948108792305,140,8722,0.12,102,0.001
-14.53813791,73.13,1.9915940761566162,85,9632,0.006567242555320263,150,9531,0.16,112,0.001
-14.889166180000002,80.91,1.92905855178833,84,10968,0.004248603247106075,160,10867,0.2,129,0.001
-16.08637291,85.85,1.6633498668670654,84,11851,0.005718257278203964,170,11750,0.21,140,0.001
-17.800831570000003,93.05,1.612440586090088,84,13009,0.006708433385938406,180,12908,0.21,154,0.001
-17.839748830000005,94.7,1.7995450496673584,83,13770,0.005700640380382538,190,13669,0.22,164,0.001
-18.098008580000002,99.49,1.6594243049621582,83,15040,0.007023630663752556,200,14939,0.22,179,0.001
-18.114567280000003,100.28,1.7028279304504395,83,15695,0.0038504137191921473,210,15594,0.22,187,0.001
-17.158956970000002,98.48,1.7350585460662842,83,16530,0.004319299943745136,220,16429,0.25,198,0.001
-17.604791209999995,104.59,1.6507234573364258,83,18021,0.008086333982646465,230,17920,0.31,215,0.001
-17.4986915,103.97,1.6151068210601807,82,19220,0.002918735146522522,240,19119,0.35,231,0.001
-17.31643155,106.32,1.5433088541030884,82,20264,0.005631066858768463,250,20163,0.36,244,0.001
-16.875572179999995,104.57,1.6612346172332764,82,21425,0.0031407265923917294,260,21324,0.39,258,0.001
-16.10710305,107.89,1.6335750818252563,83,22640,0.004820497240871191,270,22539,0.42,272,0.001
-14.833881220000002,108.99,1.561628818511963,83,23908,0.004581199027597904,280,23807,0.48,287,0.001
-14.592427899999997,109.19,1.5725469589233398,83,24689,0.0020153075456619263,290,24588,0.54,297,0.001
-13.484775610000002,100.87,1.4508798122406006,83,25127,0.0021205535158514977,300,25026,0.63,302,0.001
-13.627682710000002,105.35,1.5320658683776855,83,26230,0.0017145674210041761,310,26129,0.68,315,0.001
-13.829794569999997,107.88,1.4339046478271484,83,27318,0.003263776656240225,320,27217,0.7,328,0.001
-12.947830479999999,100.36,1.4645872116088867,83,28057,0.0032728640362620354,330,27956,0.68,337,0.001
-12.63746615,96.35,1.3491272926330566,83,28855,0.002823304384946823,340,28754,0.67,346,0.001
-12.304286899999997,92.75,1.2901884317398071,83,29539,0.003765573725104332,350,29438,0.66,354,0.001
-12.41677256,89.05,1.3106093406677246,83,30330,0.0032626697793602943,360,30229,0.61,364,0.001
-12.159059280000003,83.88,1.495187759399414,83,31028,0.003954008221626282,370,30927,0.63,372,0.001
-12.46334252,85.53,1.4343392848968506,83,32461,0.0074717095121741295,380,32360,0.61,390,0.001
-12.16807447,82.15,1.4764331579208374,83,32904,0.006312946323305368,390,32803,0.59,395,0.001
-13.783336039999996,94.0,1.3880665302276611,83,34527,0.0021777800284326077,400,34426,0.55,415,0.001
-13.935122649999999,91.97,1.401625394821167,82,35427,0.001927774865180254,410,35326,0.55,427,0.001
-13.723665660000002,90.86,1.5691463947296143,82,36404,0.004324203357100487,420,36303,0.55,438,0.001
-13.83247488,88.85,1.4485529661178589,82,36942,0.0028502442874014378,430,36841,0.56,445,0.001
-13.75820556,91.91,1.3896853923797607,82,38046,0.002105137798935175,440,37945,0.58,458,0.001
-13.878282890000001,93.83,1.39821457862854,82,38922,0.0015761045506224036,450,38821,0.62,469,0.001
-14.095722870000001,99.93,1.4039114713668823,82,40323,0.006467908620834351,460,40222,0.66,487,0.001
-13.978838429999998,102.31,1.3510921001434326,82,41259,0.0021803807467222214,470,41158,0.66,498,0.001
-13.341489359999999,95.2,1.4437451362609863,82,41981,0.0024141655303537846,480,41880,0.68,507,0.001
-13.520164520000002,99.09,1.5528106689453125,82,42813,0.002200744114816189,490,42712,0.7,518,0.001
-12.585333030000001,96.28,1.5474720001220703,82,44155,0.002377809025347233,500,44054,0.71,534,0.001
-12.141491950000002,96.64,1.49696946144104,82,45091,0.0024454165250062943,510,44990,0.7,546,0.001
-11.845994409999998,91.82,1.4730734825134277,82,45586,0.0024162810295820236,520,45485,0.72,552,0.001
-11.901174979999999,94.48,1.5383429527282715,82,46390,0.0061877998523414135,530,46289,0.75,561,0.001
-11.43053665,87.34,1.4766242504119873,82,46780,0.0033622868359088898,540,46679,0.78,566,0.001
-11.309223139999999,86.0,1.4753831624984741,82,47522,0.00397517392411828,550,47421,0.78,575,0.001
-10.55189806,76.77,1.4813148975372314,82,48000,0.0023023043759167194,560,47899,0.8,581,0.001
-10.553171120000002,76.25,1.2629554271697998,82,48884,0.005926134064793587,570,48783,0.8,593,0.001
-10.21025709,73.37,1.295238971710205,82,49318,0.001617764006368816,580,49217,0.82,598,0.001
-10.119341930000001,69.85,1.2946428060531616,82,49798,0.00652327761054039,590,49697,0.83,604,0.001
-9.61625353,62.66,1.4220046997070312,82,50421,0.002391471993178129,600,50320,0.86,611,0.001
-9.36588272,59.91,1.32231605052948,82,51082,0.0034841219894587994,610,50981,0.88,619,0.001
-9.176636030000001,58.39,1.4645476341247559,82,51425,0.0021117583382874727,620,51324,0.87,623,0.001
-8.863083080000001,56.09,1.3060669898986816,82,51999,0.0024922832380980253,630,51898,0.86,630,0.001
-8.75319238,56.0,1.3727707862854004,82,52380,0.0018423493020236492,640,52279,0.82,635,0.001
-9.06700794,60.31,1.3567917346954346,82,53553,0.0023073051124811172,650,53452,0.82,649,0.001
-8.92582805,59.1,1.532118797302246,82,53910,0.002458035945892334,660,53809,0.81,653,0.001
-9.35423963,61.14,1.4394571781158447,82,54998,0.0030226053204387426,670,54897,0.81,667,0.001
-9.55360303,63.85,1.48701810836792,82,55703,0.008075694553554058,680,55602,0.77,676,0.001
-9.488923230000001,64.92,1.3215227127075195,82,56290,0.0040284451097249985,690,56189,0.75,684,0.001
-9.89498108,68.66,1.2700612545013428,82,57287,0.0023479904048144817,700,57186,0.72,697,0.001
